"z_id","address","lat","long","price","saledate","pricepersqft","beds","baths","sqft","acres","yr_built"
"zpid_92259444","13-Kriste-Ln-Jericho-VT-05465",44.507162,-72.969943,364900,"4/4/16",133,4,3,2733,0.76,1988
"zpid_81622732","53-Fog-Valley-Rd-New-Haven-VT-05472",44.095705,-73.104531,125000,"4/4/16",90,3,2,1380,10.1,2000
"zpid_92297950","11-Overlake-Park-Burlington-VT-05401",44.469197,-73.201929,732000,"4/4/16",300,5,2.5,2432,0.00120579266015138,1940
"zpid_92261878","1220-Sherman-Hollow-Rd-Huntington-VT-05462",44.354331,-73.011375,241025,"4/4/16",NA,NA,NA,NA,1,NA
"zpid_92259689","57-Franklin-St-Winooski-VT-05404",44.496771,-73.179806,242000,"4/4/16",NA,0,0,0,0.110009182736455,0
"zpid_12649586","65-Green-Acres-Dr-Burlington-VT-05408",44.512596,-73.256286,207500,"4/4/16",247,3,1,840,73096782.1844353,1954
"zpid_124788551","97-Blackberry-Ln-South-Burlington-VT-05403",44.351833,-72.750344,389000,"4/4/16",NA,NA,NA,NA,NA,NA
"zpid_92251112","947-Oak-Hill-Rd-Williston-VT-05495",44.426497,-73.076592,980000,"4/4/16",223,4,3.5,4391,17.6,2005
"zpid_92297339","62-Braeburn-St-South-Burlington-VT-05403",44.421599,-73.167045,485000,"4/4/16",NA,3,2.5,NA,NA,2007
"zpid_49677187","14-Jonathan-Ave-South-Burlington-VT-05403",44.437202,-73.205642,265000,"4/4/16",236,3,1,1120,714234941.504982,1957
"zpid_92276337","247-Edgewood-Dr-Colchester-VT-05446",44.527849,-73.19016,325000,"4/4/16",NA,NA,NA,NA,0.67,NA
"zpid_92013586","550-Bragg-Hill-Rd-Fairlee-VT-05045",43.887276,-72.184775,280000,"4/4/16",116,3,2,2402,3.29,2003
"zpid_12649358","60-Grey-Meadow-Dr-Burlington-VT-05408",44.512451,-73.263549,359900,"4/4/16",165,3,2.5,2179,0.000746597591575298,1998
"zpid_92295527","5-Smith-Rd-Milton-VT-05468",44.666952,-73.128606,245000,"4/4/16",108,3,3,2248,0.9,1972
"zpid_92274955","334-Colonial-Dr-Colchester-VT-05446",44.504727,-73.195761,285000,"4/4/16",128,3,2.5,2212,0.36,1972
"zpid_49676299","28-Derby-Cir-South-Burlington-VT-05403",44.450359,-73.160011,289000,"4/4/16",166,4,2,1736,9681728654.31559,1987
"zpid_49676308","37-Derby-Cir-South-Burlington-VT-05403",44.450561,-73.161583,302000,"4/4/16",158,4,1.5,1900,0.28,1989
"zpid_92259689","57-Franklin-St-Winooski-VT-05404",44.496771,-73.179806,242000,"4/4/16",NA,0,0,0,0.110009182736455,0
"zpid_90140681","1001-Church-Hill-Rd-Charlotte-VT-05445",44.319529,-73.235445,475000,"4/4/16",NA,NA,NA,NA,7.86,NA
"zpid_92297950","11-Overlake-Park-Burlington-VT-05401",44.469197,-73.201929,732000,"4/4/16",300,5,2.5,2432,0.00120579266015138,1940
"zpid_92259444","13-Kriste-Ln-Jericho-VT-05465",44.507162,-72.969943,364900,"4/4/16",133,4,3,2733,0.76,1988
"zpid_92001382","27-Butler-Rd-Fairfax-VT-05454",44.664748,-73.0052,330000,"4/4/16",NA,NA,NA,NA,0.96,NA
