"z_id","address","lat","long","price","beds","baths","sqft","acres","yr_built"
"zpid_91999760","17-Warner-Dr-Saint-Albans-VT-05478",44.8179,-73.075968,395000,5,4,3408,0.34,1990
"zpid_2102077405","Breezy-Hill-Acres-LOT-14-Monkton-VT-05473",44.24859,-73.20227,110000,NA,NA,NA,2.58,NA
"zpid_2102052464","Breezy-Hill-Acres-LOT-13-Monkton-VT-05473",44.24859,-73.20227,1e+05,NA,NA,NA,2.35,NA
"zpid_2102077406","Breezy-Hill-Acres-LOT-11-Monkton-VT-05473",44.24859,-73.20227,1e+05,NA,NA,NA,2.31,NA
"zpid_2102077411","Breezy-Hill-Acres-LOT-8-Monkton-VT-05473",44.24859,-73.20227,90000,NA,NA,NA,2.26,NA
"zpid_81615132","383-Woods-Hollow-Dr-Milton-VT-05468",44.687148,-73.12206,319900,3,3.5,2742,0.42,2005
"zpid_92256046","12-Ketcham-Dr-Essex-Junction-VT-05452",44.479772,-73.127785,309000,3,3,NA,NA,2006
"zpid_92015696","376-Pine-Hill-Rd-Newport-VT-05855",44.928339,-72.187087,175000,3,2,1844,1.5,1972
"zpid_75450655","101-N-Pleasant-St-North-Troy-VT-05859",44.994052,-72.405921,129900,3,2,2560,0.31,1974
"zpid_92022966","40-Vernon-St-Rutland-VT-05701",43.62292,-72.979075,129900,3,1,912,732601214.462121,1970
"zpid_75423707","174-East-Rd-Stamford-VT-05352",42.744195,-73.060509,229900,3,2,2030,2,1901
"zpid_2108111143","58-Poor-Farm-Rd-Alburgh-VT-05440",44.878664,-73.280836,249000,3,2,1712,1,1976
"zpid_75443707","8-Prospect-Ave-Randolph-VT-05060",43.920142,-72.663324,365000,8,5,4047,0.6,1902
"zpid_91991787","179-Rotax-Rd-North-Ferrisburgh-VT-05473",44.259077,-73.129372,550000,5,4,4816,4,1976
"zpid_2100726029","5924-Vt-Route-100-Londonderry-VT-05148",43.22845,-72.811431,250000,4,3,2648,1.25,1890
"zpid_75471594","1135-Loomis-Hill-Rd-Waterbury-Center-VT-05677",44.382114,-72.698553,349500,3,2,1850,1,1970
"zpid_111022447","351-Sylvan-Park-Rd-Stowe-VT-05672",44.454374,-72.688745,875000,7,8,7080,NA,1962
"zpid_2105775825","3880-Maidstone-Lake-Rd-Maidstone-VT-05905",44.664491,-71.646947,217000,3,2,1000,736916400.411983,1946
"zpid_2098820241","22-Moulton-Rd-Waitsfield-VT-05673",44.184431,-72.845779,36900,NA,NA,NA,0.6,NA
"zpid_75480643","780-Lakeridge-Rd-Guilford-VT-05301",42.760053,-72.590902,225000,3,3,2400,7.5,1988
"zpid_2111533746","72-Meadow-Hawk-Ln-Rochester-VT-05767",43.864491,-72.837751,259000,4,2,1898,1,1981
"zpid_75463777","46-Johnson-St-Barre-VT-05641",44.203132,-72.49781,125000,2,2,1344,0.51,1912
"zpid_92016038","2653-Glover-St-Glover-VT-05839",44.710562,-72.185431,179000,4,2,3000,0.5,1860
"zpid_2098821271","485-Summit-Cir-Brattleboro-VT-05301",42.835849,-72.594067,1395000,4,4,5333,41.8,2007
"zpid_92040742","1353-Burbee-Pond-Rd-Windham-VT-05359",43.156511,-72.727219,229500,3,2,1800,3.07,1980
"zpid_2098821810","1106-Sunset-Lake-Rd-Brattleboro-VT-05301",42.887545,-72.647378,132000,2,1,670,0.95,1912
"zpid_92052647","1510-Wayside-Rd-Woodstock-VT-05091",43.67018,-72.595818,1375000,7,5,4154,160,1805
"zpid_2098865675","N15-Stonehedge-Dr-South-Burlington-VT-05403",44.4347,-73.195897,244000,4,3,2076,NA,1988
"zpid_75490530","102-Shute-Rd-Hartland-VT-05048",43.56985,-72.419334,56000,3,1,1608,10.2,1995
"zpid_92262734","904-E-Lakeshore-Dr-Colchester-VT-05446",44.548764,-73.19946,169900,4,2,1992,96876132.964876,1950
"zpid_124573427","1279-Rt-149-West-Pawlet-VT-05775",43.34731,-73.23368,15000,4,2,1714,968124130.438476,1900
"zpid_12648073","1835-North-Ave-Burlington-VT-05408",44.519134,-73.261741,159900,3,1,844,73105164.8748623,1949
"zpid_92248862","100-W-Canal-St-Winooski-VT-05404",44.490897,-73.189554,179000,2,1,1003,NA,1985
"zpid_92022752","124-Gibson-Ave-Rutland-VT-05701",43.595791,-72.980528,16900,4,2,2160,9691462455.04821,1900
"zpid_75422426","1150-S-Stream-Rd-Bennington-VT-05201",42.855205,-73.17379,174000,4,2,1692,1,1987
"zpid_75454098","3286-Us-Route-7-Pittsford-VT-05763",43.706535,-73.016421,39500,4,2,1574,967802434.616598,1899
"zpid_2098867809","589-Chelsea-Rd-Brookfield-VT-05036",44.015144,-72.541271,149000,3,2,1000,10,1989
"zpid_124028754","175-Lexington-Rd-Colchester-VT-05446",44.510689,-73.150912,51900,3,2,1078,NA,2001
"zpid_92243403","118-Stage-Rd-Richmond-VT-05477",44.384874,-72.935908,234900,3,1,1728,5.1,1988
"zpid_92294472","610-Turkey-Ln-Hinesburg-VT-05461",44.282661,-73.102522,339000,2,2,1737,10.1,1978
